Code,Country,Annual_births,GNI_pc
1,Antigua,1420.0,15196.34
2,Argentina,738513.0,10448.39
3,Bahamas,5998.0,30584.62
4,Barbados,3142.0,17769.73
5,Belize,7926.0,4721.64
6,Bolivia,237991.0,3419.33
7,Brazil,2822323.0,8464.33
8,Chile,214955.0,17701.62
9,Colombia,737615.0,6186.66
10,Costa_Rica,66716.0,12294.13
11,Cuba,99333.0,
12,Dominica,,8559.17
13,Dominican_Rep.,198050.0,9158.02
14,Ecuador,335206.0,6107.6
15,El_Salvador,115530.0,4475.18
16,Grenada,1748.0,10194.01
17,Guatemala,419893.0,4767.44
18,Guyana,14115.0,12426.39
19,Haiti,253692.0,1560.23
20,Honduras,211471.0,2712.44
21,Jamaica,43888.0,5697.35
22,Mexico,2127508.0,10541.44
23,Nicaragua,128053.0,2109.3
24,Panama,77743.0,14643.87
25,Paraguay,143067.0,5258.69
26,Peru,617385.0,6781.12
27,Saint_Lucia,2053.0,10905.01
28,Saint_Vincent,1440.0,7720.92
29,St._Kitts_and_Nevis,,18728.92
30,Suriname,10236.0,4759.46
31,Trinidad,16322.0,16323.03
32,Uruguay,46155.0,17930.51
33,Venezuela,417376.0,1617.76
